"Use Case Name","Segment / Function","Date Updated","RAG Status","Stage","AI Tools","Use Case Strategy","Total Headcount Field","Use Case Description","Outcomes/Deliverables","Planned Status Q1 2025","Planned Status Q2 2025","Planned Status Q3 2025","Planned Status Q4 2025","Created","Modified","Modified By"
"Extra, PH and Informative Editorial Workflows","Latam Editorial","9/9/2025","Green – as per plan or better","Launch","AI Platform: Open Arena,CoPilot 365","Hybrid","6","The Extra, PH and Informative formats are used to deliver timely, high-impact legal updates to professionals. These editorial products summarize and contextualize legislative developments, judicial decisions, and regulatory changes. The Extra and PH format is reserved for acts with broad legal or T&A relevance or urgency, while the Informative covers acts with informative value, including federal, state and municipal legislation and technical notes.

Challenges
- Manual drafting and review of Extra, PH and Informative texts is time-sensitive and demands legal precision.
- Editors must interpret the legal relevance of each act, classify it by legal area, and ensure consistency with editorial standards.
- Municipal acts often require additional contextualization due to fragmented publication sources and local legal nuances.
- Review workflows are repetitive and require coordination across editorial team.","AI-Driven Solution
Generative AI models such as Copilot and Gemini are used to:
- Summarize legal content of newly published acts, highlighting urgency, scope, and relevance.
- Suggest editorial classifications and thesaurus terms based on semantic analysis.
- Draft initial versions of Extra, PH and Informative texts, following internal style guides and legal tone.
- Support prompt-based review workflows, allowing editors to validate and refine AI-generated texts efficiently.
- Handle municipal legislation, identifying jurisdiction, scope, and editorial framing based on local context.

Workflow Integration
- AI is triggered after upload of the legal act into GCMS (editorial system).
- Prompts are executed in batch mode for all acts captured on the same day.
- Editors use prompt-based review templates to validate and finalize AI-generated drafts.

Expected Outcomes
- Faster editorial turnaround for urgent legal updates.
- Improved consistency and legal clarity in published texts.
- Scalability to handle high-volume days acts.
- Enhanced classification accuracy, reducing editorial rework.
- Streamlined review process, with reduced manual effort and improved collaboration.

Success Metrics
- Time saved per Extra, PH or Informative produced.
- Acceptance rate of AI-generated drafts.
- Accuracy of legal classification and thesaurus tagging.
- Volume of acts processed daily.
- Reduction in post-publication corrections.","-","-","Update prompt and testing","Workflow Integration (dependency development)","7/31/2025 9:14 PM","9/11/2025 9:42 AM","Silva, Camilla (LatAm)"
"Word Cloud Generation in Editorial Workflows","Latam Editorial","9/10/2025","Green – as per plan or better","Launch","CoPilot 365","Hybrid","8","In editorial publishing, word clouds serve as a visual and analytical tool to highlight the most frequent and relevant terms within legislative texts, judicial decisions, or editorial summaries. They support legal and T&A professionals by offering a quick overview of dominant legal and T&A themes, aiding in content discovery, trend analysis, and editorial planning.

Challenges
- Manual extraction of keywords from legal and T&A texts is time-consuming and lacks consistency.
- Legal and T&A documents often contain complex structures and terminology that require contextual understanding to avoid misleading visualizations.","AI-Driven Solution
Generative AI models and visualization tools (e.g., Power BI, Open Arena) are used to:
- Automatically extract and rank legal terms based on frequency and contextual relevance.
- Filter out non-substantive or procedural language, focusing on legally meaningful content.
- Generate word clouds that reflect the core legal and T&A concepts of each document or collection.
- Support editorial decision-making by identifying emerging topics or underrepresented areas in the legal corpus.

Workflow Integration
- AI is triggered after upload of legislative or jurisprudential content into the editorial system.
- Prompts are executed to extract key terms and generate visual outputs.
- Word clouds are embedded in newsletters, dashboards, or editorial reports to enhance user engagement and internal analysis.

Expected Outcomes
- Faster generation of legally accurate word clouds across content types.
- Improved editorial insights into thematic trends and user interests.
- Enhanced user experience through visual summaries in legal newsletters and platforms.
- Scalability to apply across jurisdictions and editorial products (e.g., RTO, Checkpoint).

Success Metrics
- Time saved per word cloud generated.
- Accuracy and legal relevance of extracted terms.
- Engagement metrics from newsletters or platforms using word clouds.
- Editorial adoption across teams and jurisdictions.","-","-","-","Workflow Integration (dependency development)
Testing prompt to Copilot generate image","7/31/2025 9:26 PM","9/11/2025 9:43 AM","Silva, Camilla (LatAm)"
"CoPilot","GTM - Government","8/27/2025","Amber – delay/risks/challenges","Not Implemented","CoPilot 365","Buy","65","Researcher for looking up and consolidating information, Drafting communications, business reviews and status updates.","Researcher for looking up and consolidating information, Drafting communications, business reviews and status updates.","Waiting on licenses.","Waiting on licenses.","Launch to all of Government Legal and Government Risk.  GTM Included.","Leverage best practices that have proven ability to drive efficiencies.","8/1/2025 10:18 AM","8/27/2025 12:56 PM","Coleman, Steve (Government)"
"Value-added agent for the Checkpoint (Legislation containing provisions without effecting amendments)","Latam Editorial","9/10/2025","Green – as per plan or better","Launch","AI Platform: Open Arena,CoPilot 365","Hybrid","12","In the Tax & Account domain, professionals must navigate a vast and complex body of content that includes regulatory updates, economic sector classifications and domain-specific T&A areas. Ensuring consistency, accuracy, and speed in content production is critical for compliance and client trust.

Challenges
- Manual curation of T&A content is time-consuming and prone to inconsistencies.
- Difficulty in aligning terminology across economic segments and legal domains.","AI-Driven Solution
A single-prompt generative AI solution is introduced to synthesize and generate legally accurate outputs by combining:
- Informative summaries of legal updates,
- Contextual use of legal thesauri,
- Classification by economic segment,
- Mapping to relevant areas of law.

The prompt dynamically integrates these dimensions to produce cohesive, jurisdiction-aware content.

Workflow Integration
The AI prompt is embedded into editorial workflows, allowing anlysts to input minimal context (e.g., topic + jurisdiction) and receive structured outputs that include:
- Suggested titles and summaries,
- Relevant legal terms from the thesaurus,
- Economic segment tagging,
- Legal area classification.

Expected Outcomes
Faster and more assertive generation of summaries, relevant legal terms from the thesaurus, economic segment marking and legal area classification.

Success Metrics
- Reduction in editorial turnaround time.
- Increased consistency in tagging across economic and legal domains.","-","-","Agentic AI creation on Copilot ","Evaluate Agentic AI creation on Open Arena
Evaluate requesting more Copilot licenses
Workflow integration (dependency development)","8/1/2025 11:58 AM","9/11/2025 1:02 PM","Silva, Camilla (LatAm)"
"Legal Document Classification and Distribution","Latam Editorial","9/10/2025","Green – as per plan or better","Experimentation","CoPilot 365,Microsoft Power Apps,Teams Premium","Hybrid","9","Legal and Tax&Account departments manage vast volumes of documents—ranging from legislative updates and judicial decisions to internal memoranda and client communications. These materials often require precise classification by legal act type, complexity level, and distribution to the appropriate editorial or operational teams. Traditional manual workflows are time-consuming and prone to inconsistencies, especially when dealing with nuanced legal language and jurisdictional variations.

Challenges
- Volume and Variety: Legal teams face an overwhelming influx of documents across multiple formats and jurisdictions.
- Semantic Complexity: Legal language is dense, context-sensitive, and often ambiguous, making automated classification difficult.
- Operational Bottlenecks: Manual triage and routing of documents delay editorial updates and reduce responsiveness to legal changes.
- Risk of Misclassification: Incorrect tagging or distribution can lead to compliance issues and reputational risks.","AI-Driven Solution
The proposed solution leverages Large Language Models (LLMs) and agentic AI architectures to automate the classification and distribution of legal documents. These models are trained on extensive legal corpora and integrated with editorial taxonomies to:
- Identify and tag legal acts (e.g., decrees, resolutions, amendments).
- Assess document complexity based on linguistic and structural features.
- Route documents to the appropriate editorial or legal team for review and publication.

Workflow Integration
The AI system is embedded within the editorial pipeline, interfacing with document repositories (e.g., Westlaw, RTO, Checkpoint), content management systems (GCMS, Console and Sharepoint), and distribution platforms. It supports:
- Real-time ingestion of legal documents.
- Automated tagging and metadata extraction.
- Rule-based routing to editorial teams based on jurisdiction, topic, and urgency.
- Feedback loops for continuous learning and refinement.

Expected Outcomes
- Efficiency Gains: Significant reduction in manual classification time.
- Improved Accuracy: Enhanced consistency in tagging and routing decisions.
- Editorial Agility: Faster updates to legal databases and client-facing platforms.

Success Metrics
- Classification Accuracy Rate: ≥ 95% precision in tagging legal acts and complexity levels.
- Processing Time Reduction: ≥ 70% decrease in document triage time.
- Editorial Throughput: ≥ 50% increase in documents processed per editor per week.
- User Satisfaction: ≥ 90% positive feedback from editorial and legal teams.
- Compliance Assurance: Zero incidents of misrouted high-risk content.","-","-","Q3 2025: Consolidation and Pilot Expansion
- Finalize taxonomy refinement for legal acts and complexity levels based on editorial feedback and classification inconsistencies.
- Integrate AI tagging into the existing document intake workflow (e.g., ementa-based classification and revalidation during updates).
- Evaluate pilot performance using metrics such as:
-- Classification accuracy
-- Processing time reduction
-- Editorial feedback scores
","Q4 2025: Scaling and Strategic Alignment
- Prepare a mid-term report for leadership summarizing savings in hours and editorial throughput.
- Launch internal training sessions on AI-assisted classification tools and prompt engineering for editorial use.

Q1 2026
- Scale AI classification to broader content sets including legislative updates, jurisprudence, and fiscal documents.
- Launch dashboards for real-time monitoring of classification flow, complexity distribution, and editorial routing.
- Conduct stakeholder interviews (Legal, Tax, Editorial, Product) to validate AI impact and gather improvement suggestions.
- Deliver final report with:
-- Success metrics (accuracy, speed, editorial adoption)
-- Recommendations for 2026 roadmap
-- Investment proposal for further automation and integration","8/13/2025 8:27 AM","9/11/2025 9:50 AM","Silva, Camilla (LatAm)"
"Ask Seismic Advisor","GTM - Government","8/27/2025","Amber – delay/risks/challenges","Business Case","AI Platform","Build","85","Seismic Advisor is an AI-powered sales enablement platform that provides personalized content recommendations, playbooks, and messaging to sales reps based on customer interactions, sales behavior, and content performance. Here's how Seismic Advisor addresses the current challenges:

Content Recommendation: Seismic Advisor analyzes customer interactions, sales behavior, and content performance to provide personalized content recommendations to sales reps, ensuring they have the most relevant and effective sales content to engage with customers.
Playbook Guidance: Seismic Advisor provides sales reps with guided playbooks and messaging that are tailored to specific customer scenarios, enabling them to have more effective sales conversations and address customer pain points.
Skill Development: Seismic Advisor offers personalized skills development and coaching to sales reps, helping them develop the skills and knowledge needed to effectively engage with customers and close deals.
Sales Analytics: Seismic Advisor provides sales leadership with real-time analytics and insights into sales performance, enabling them to identify areas for improvement, optimize sales strategies, and measure the effectiveness of sales enablement initiatives.","Not yet developed; planning to bring this tool into Project Panther workstream: Aggressive Sales Plays","NA","NA","Initial business case build","Launch","8/27/2025 12:54 PM","8/27/2025 12:54 PM","Coleman, Steve (Government)"
"PL Modify Alt Text","Editorial (Product)","8/28/2025","Green – as per plan or better","Launch","AI Platform: Open Arena","Build","150","Use AI (Open Arena) to modify the length of alt text such that it is compliant with accessibility standards","Chain that enables quicker creation of alt text for content.","na","na","launch
","na","8/28/2025 10:39 AM","9/3/2025 10:16 AM","Mulrooney, Lisa K. (TR Product)"
"AU Editorial Chat","Editorial (Product)","8/28/2025","Green – as per plan or better","Launch","AI Platform: Open Arena","Build","50","Use AI to create a chatbot that could answer editors' questions by searching a centralized database of guidelines, procedures etc which would assist in decision making and content review. ","Chatbot for KM","na","na","Launch","na","8/28/2025 10:42 AM","9/3/2025 10:55 AM","Mulrooney, Lisa K. (TR Product)"
"O'Connors Style Guide Chat","Editorial (Product)","8/28/2025","Green – as per plan or better","Launch","AI Platform: Open Arena","Build","15","Use AI(Chotbot) to answer editor's questions related to editor's style, citations, process etc using the Sharepoint documentation library. ","Chatbot for KM","na","na","launch","na","8/28/2025 10:44 AM","9/3/2025 10:56 AM","Mulrooney, Lisa K. (TR Product)"
"PL Chat - Tips and Tricks","Editorial (Product)","8/28/2025","Green – as per plan or better","Launch","AI Platform: Open Arena","Build","50","The Tips and Tricks wiki page contains answers to commonly asked questions on GENT (eg validation errors), ACT (eg how to import documents), Microsoft Word (eg how to get old style comments back), where to find Style Guide, Adestra (eg issues with linked email address), Bermuda (issues with linking, manual links). Information that is usually traded in emails, written on post it notes or shared in casual conversations is now all recorded in one location. We collated all this information into a Word document (source document), which the chatbot reads from.","Chatbot - KM ","na","na","launch","na","8/28/2025 10:49 AM","9/3/2025 10:57 AM","Mulrooney, Lisa K. (TR Product)"
"Comms - Auto-translate in Poppulo","People / Comms","10/8/2025","Amber – delay/risks/challenges","Ideation","Poppulo","Buy",,"Implement Poppulo's built-in translation capabilities to automatically localize messages during distribution workflow, detecting language needs and generating translations for seamless, consistent multilingual communications without manual processes or external tools.","Seamless multilingual communication distribution, eliminated manual translation processes, consistent global messaging, reduced time-to-distribute for multilingual content, and improved global employee communication accessibility.","N/A","N/A","August 2025 Update:
•	Conversations with Poppulo on access to translations functionality still ongoing. Delayed due to vacations and pending information on translation requirements.","TBC","8/28/2025 3:04 PM","10/8/2025 3:56 PM","Morse, Jonathan R. (TR People)"
"Comms - Using Signal AI for media monitoring","People / Comms","10/8/2025","Green – as per plan or better","Experimentation","Signal AI","Buy",,"Deploy Signal AI for continuous media coverage tracking across news, broadcast, and social sources, utilizing AI-driven classification to surface relevant mentions and sentiment analysis with automated alerts and dashboards for real-time media metrics.","Accurate real-time media metrics and monitoring, faster media analysis and response capabilities, automated sentiment tracking and alerts, improved data-backed decision making, and enhanced media relations effectiveness.","N/A","N/A","August 2025 Update:
•	Testing underway using in platform searches - key words for TR, execs, products and more. Expect to complete testing by Q3. ","TBC","8/28/2025 3:08 PM","10/8/2025 3:57 PM","Morse, Jonathan R. (TR People)"
"Comms - LinkedIn Chains for Leaders","People / Comms","10/8/2025","Amber – delay/risks/challenges","Experimentation","Open Arena","Build",,"Utilize Open Arena to create guided ""chains"" that help leaders quickly draft polished LinkedIn posts through workflow prompts for key points, tone, and audience, auto-generating post options, headlines, and hashtags for rapid review and refinement.","Accelerated LinkedIn content creation for leaders, improved social media post quality and consistency, enhanced leadership social media presence, reduced time-to-publish for executive communications, and streamlined social media content workflow.","N/A","N/A","August 2025 Update:
•	Testing underway, further refining chain for use by comms team
•	Need details of leaders tone of voice to continue effective testing
","TBC","8/28/2025 3:10 PM","10/8/2025 3:57 PM","Morse, Jonathan R. (TR People)"
"Comms - Internal Comms Draft ""Leader's Voice""","People / Comms","10/8/2025","Green – as per plan or better","Experimentation","Open Arena","Build",,"Use Open Arena to generate internal communications in each leader's distinctive tone, style, and messaging by setting up leader profiles with voice guidelines and sample content, then drafting emails, announcements, and talking points aligned to their persona.","Consistent leader voice across internal communications, accelerated internal content creation, improved message authenticity and alignment, reduced drafting time for leadership communications, and enhanced internal communication effectiveness.","N/A","N/A","August 2025 Update:
•	Testing underway, further refining prompts for use by comms team","TBD","8/28/2025 3:35 PM","10/8/2025 3:58 PM","Morse, Jonathan R. (TR People)"
"Comms - DAVE AI for Internal Communications","People / Comms","10/8/2025","Amber – delay/risks/challenges","Experimentation","DAVE AI","Buy",,"Deploy DAVE AI as internal content generator for quickly drafting emails, announcements, FAQs, and talking points for employees, with teams inputting objectives and key messages for on-brand draft generation and rapid review/approval processes.","Accelerated internal content generation, improved content consistency and brand alignment, reduced content creation time and effort, enhanced internal communication quality, and streamlined content approval workflows.","N/A","N/A","August 2025 Update:
•	Progress slowed
•	Internal Comms team working on refining AI database. 
•	Data gathering is slow.
•	Digital HR team also has other priorities / bandwidth issues 
","TBD","8/28/2025 3:40 PM","10/8/2025 3:58 PM","Morse, Jonathan R. (TR People)"
"Comms - Creating analyses, trends and leaderboards from multiple spreadsheets","People / Comms","10/8/2025","Green – as per plan or better","Experimentation","Open Arena","Build",,"Utilize Open Arena to ingest multiple spreadsheets and unify metrics, automatically analyze patterns and trends, and generate dynamic leaderboards by channel, region, and campaign for quick insights generation and stakeholder sharing.","Automated pattern and trend analysis from multiple data sources, dynamic leaderboard generation for performance tracking, unified metrics reporting across channels and regions, improved data-driven insights for communication strategy, and streamlined analytics reporting processes.","N/A","N/A","•	Testing underway with Open Arena ","TBD","8/28/2025 3:43 PM","10/8/2025 3:59 PM","Morse, Jonathan R. (TR People)"
"Legal Article Qualification for Editorial Review","Latam Editorial","9/9/2025","Green – as per plan or better","Launch","CoPilot 365","Hybrid","1","Legal context
Law journals require rigorous standards of technical accuracy, relevance, and scholarly contribution. Articles must be aligned with the rules of jurisprudential submission, legal doctrine and editorial guidelines to be considered for publication.

Challenges
Manual review is time-consuming and prone to subjective bias. There is no time to read the articles in full.
High volume of submissions with varying legal depth and quality.
Limited tools to assist publishers with early-stage qualification filtering.","AI-driven solution
An AI model trained on qualified legal articles will automatically evaluate submissions for technical suitability. It will:
Analyze legal terminology, structure, and citation standards.
Compare content to editorial benchmarks and legal standards.
Flagging articles without sufficient legal depth or coherence.

Workflow integration
Authors submit articles through the editorial's endorsement email.
The AI performs a preliminary qualification check.
Editors receive a report with the qualifications and problems of the article and a brief indication of points for improvement.
Qualified articles proceed to peer review; the others are forwarded for possible publication in the RTO.

Expected results
Reduced editorial workload and faster screening of submissions.
Greater consistency and transparency in qualification decisions.
The system can also suggest possible journals for publication

Success metrics - TBD","-","-

","Creation of Agentic AI","Improve prompt of Agentic AI
Analise creation of Agentic AI for other magazines","8/29/2025 11:37 AM","9/10/2025 1:47 PM","Silva, Camilla (LatAm)"
"Automation of Copyright Assignment Dispatch in Editorial Operations","Latam Editorial","9/10/2025","Green – as per plan or better","Launch","CoPilot 365,Microsoft Power Apps","Hybrid","2","Legal Context
In academic and editorial publishing, authors are required to sign copyright assignment agreements when submitting articles. These documents ensure legal clarity and proper rights management for published content. Historically, this process was manual, involving individual email exchanges and manual tracking, which posed risks of errors and delays.

Challenges
Manual dispatch of copyright forms one by one
High rate of human error (missed emails, incorrect data)
Low return rate of signed documents
High volume of author inquiries due to lack of clarity
Time-consuming tracking and organization of received documents","AI-Driven Solution
The project introduced an AI-powered workflow integrated with DocuSign to automate the dispatch of copyright assignments. The AI organizes submitted articles by author and co-author, generating a clear mapping of: Article title, Journal name and Volume and issue.
This mapping is attached to each DocuSign dispatch, helping authors understand exactly what they are signing.

Workflow Integration
Authors submit articles via email (current phase)
Editorial team compiles data into CSV templates
DocuSign sends mass copyright assignments
AI generates article-author mappings for each dispatch
Documents are tracked and organized automatically

Expected Outcomes
Faster and more accurate dispatch of copyright assignments
Reduced manual workload
Improved author experience and clarity
Higher return rate of signed documents
Fewer email inquiries

Success Metrics
Increase in signed document return rate
Reduction in email inquiries from authors
Time saved in dispatch and follow-up
Number of journals successfully integrated into the workflow","Automate CSV generation from form data
Pilot the new workflow with one journal","Design a unified submission form for authors","Integrate SharePoint and Power Automate for automatic article uploads
Pilot with one journal
","Evaluate pilot results and refine the process
Scale the workflow to all journals
Monitor performance and optimize the system","8/29/2025 11:44 AM","9/11/2025 9:55 AM","Silva, Camilla (LatAm)"
"Customer Self-Service: Chatbot 2.0","CXDT","9/29/2025","Green – as per plan or better","Implementation","Co-Counsel","Hybrid","0","Chatbot 2.0 represents a strategic technology investment that transforms the UltraTax customer support experience by replacing the existing menu-driven interface with an advanced generative AI conversational assistant. This initiative delivers immediate business value through enhanced customer satisfaction, reduced support costs, and improved operational efficiency across UltraTax service delivery.

The solution leverages enterprise-grade large language model technology to enable natural, intuitive customer conversations that provide seamless access to comprehensive knowledge bases and support documentation, delivering accurate, contextually relevant responses that match human agent expertise while significantly reducing customer effort and accelerating issue resolution.

The implementation prioritizes content quality through structured management protocols aligned with TR standards, ensuring consistent brand voice and technical precision. The system incorporates comprehensive testing frameworks and continuous monitoring capabilities to maintain optimal performance during peak usage, providing measurable metrics that demonstrate return on investment and support business growth objectives.","Primary Deliverables: The initiative delivers a generative AI-powered chatbot that replaces the current menu-driven interface for UltraTax customers, targeting 80% accuracy rates through refined content ingestion and structured management protocols. The solution deflects routine customer inquiries from human agents to AI-powered self-service capabilities, particularly during peak tax season operations when support demand reaches maximum capacity.

Operational Outcomes: Expected outcomes include significantly improved customer experience through accelerated resolution times and intuitive natural language interactions that eliminate navigation complexity. The system enhances operational efficiency by reducing agent workload during peak periods, enabling human resources to focus on complex issues requiring specialized expertise while implementing TR-standard content structure that improves overall knowledge base effectiveness and consistency.

Strategic Business Benefits: The platform provides scalability to handle increased customer volume without proportional staffing increases, delivers 24/7 customer support accessibility, and enables continuous model improvement through iterative refinement processes. Additionally, the initiative establishes a proven generative AI framework that can be strategically applied to additional products and customer touchpoints across the organization, creating a foundation for enterprise-wide AI adoption and operational transformation.","--","--","Based on decision for new strategic solution, team has shifted targeted priorities for remaining 2025 to 1) discovery to determine feasibility for SurePrep migration to the new strategic solution in 2025, and 2) discovery to determine feasibility for solution to support account management queries/customer needs (Legal CS).","Additional Q4 2025 milestones will be incorporated on a monthly basis in alignment to the reporting cycles.

Based on decision for new strategic solution, team has shifted targeted priorities for remaining 2025 to 1) discovery to determine feasibility for SurePrep migration to the new strategic solution in 2025, and 2) discovery to determine feasibility for solution to support account management queries/customer needs (Legal CS).","8/29/2025 12:47 PM","9/30/2025 3:42 PM","Bravo, Carlos (Operations & Technology)"
"Agent Knowledge: Sherlock for US Tax","CXDT","9/29/2025","Green – as per plan or better","Launch","Salesforce Einstein","Hybrid","300","Sherlock AI is a generative artificial intelligence solution deployed within LATAM Open Arena to accelerate agent support through intelligent analysis of US Tax (GST/OIT) historical case resolution data. The platform leverages machine learning to surface successful resolution patterns from the preceding 18-month period, enabling agents to access proven solutions while eliminating manual research processes and improving response consistency.

This AI-powered tool transforms reactive support into proactive, data-driven service delivery by providing contextually relevant recommendations based on historical success patterns. Implementation is projected to significantly reduce case research time, enhance support quality consistency, and improve customer satisfaction scores while optimizing resource utilization across service operations.","• Full GST/OIT Agent Deployment - Complete Sherlock AI implementation across all US Tax agent operations with integrated historical case data search capabilities and AI-generated response systems for accelerated case resolution

• Reduced Research Time - Significant decrease in agent research duration through AI-powered access to proven solution patterns and automated surfacing of relevant past resolutions for current case handling

• Enhanced Agent Productivity - Improved agent confidence and operational efficiency through intelligent knowledge assistance that leverages institutional expertise and successful resolution methodologies

• Peak Season Performance Optimization - Reduced handle time for less complex customer contacts during high-volume periods through automated access to proven resolution frameworks and streamlined case processing

• Improved Service Quality Metrics - Enhanced first call resolution rates and customer satisfaction scores through consistent application of successful historical resolution patterns and reduced manual case history searches

• AI Transformation Alignment - Strategic advancement of organizational AI adoption objectives through practical implementation of generative AI solutions that demonstrate measurable operational improvements and scalable knowledge management capabilities","--","--","Sherlock AI for US Tax operations will pursue a dual-focus strategy throughout Q3, emphasizing systematic optimization of existing platform capabilities and strategic expansion of service coverage. The optimization component will refine AI recommendation algorithms, enhance search accuracy, and improve user interface responsiveness based on deployment data and operational feedback collected since the August 19th rollout.

The expansion initiative will explore opportunities to broaden Sherlock AI""s applicability across additional US Tax service scenarios, potentially incorporating new case types or expanding historical data coverage to support agent decision-making across a wider range of customer inquiries.

Central to both efforts will be continuous monitoring of agent feedback and analysis of model performance improvements derived from real-world usage patterns during the critical fall peak season operations. The insights generated through this monitoring process will identify specific opportunities for future platform enhancements and strategic investments that can further improve agent productivity and operational efficiency across US Tax service delivery operations.","Additional Q4 2025 milestones will be incorporated on a monthly basis in alignment to the reporting cycles.","8/29/2025 12:53 PM","9/29/2025 1:21 PM","Bravo, Carlos (Operations & Technology)"
"Gong AI Productivity Agents","GTM - TAP","9/30/2025","Green – as per plan or better","Launch","Gong","Buy",,"AI Call Reviewer with prompt frameworks for coaching - Status: Live
AI Deal Reviewer with prompt frameworks for pipeline qualification - Status: Live
Deal Monitor (AI alerts/warnings for pipeline health) - Status: Live
AI Ask Anything with prompt frameworks - Status: Live","Leveraging AI use cases above in Gong focusing on coaching and pipeline management ","live but underutilized","live but underutilized","Q3 focus areas coaching pipeline and productivity","Level up training and expansion of use cases","9/2/2025 12:25 PM","9/30/2025 3:48 PM","WILLIAMS, MAYA (Tax&Accounting Prof)"
"Creation of Case Law Highlights and Summaries in the “Decisões” Product","Latam Editorial","9/9/2025","Green – as per plan or better","Launch","AI Platform: Open Arena,CoPilot 365","Hybrid","8","Legal Context
The “Decisões” product is designed to support legal professionals by delivering structured, high-quality summaries of judicial decisions across Brazilian courts. These summaries are essential for legal research, litigation strategy, and staying current with evolving jurisprudence. The editorial team, including legal specialists under the leadership of Fernanda Bernardi, plays a critical role in curating and interpreting case law for publication.

Challenges  
- Massive and growing volume of decisions published daily across multiple jurisdictions.
- Manual summarization is labor-intensive and slows editorial throughput.
- Maintaining consistency in legal terminology and structure across summaries is difficult.","AI-Driven Solution
To address these challenges, the team implemented generative AI models to assist in the creation of case law highlights and summaries. These models are capable of:
- Identifying and extracting key legal elements such as holdings, reasoning, and applicable statutes.
- Generating concise, legally sound summaries that preserve the integrity of judicial reasoning.
- Suggesting standardized headers and editorial structures using prompt engineering and legal taxonomies.
- Supporting editorial validation through iterative feedback and refinement.

Workflow Integration  
- AI-generated drafts are reviewed and edited by legal professionals to ensure accuracy and compliance.
- Prompts and model outputs are continuously optimized based on editorial feedback.
- Collaboration between editorial, product, and innovation teams ensures alignment with legal standards and user needs.

Expected Outcomes  
- Increased editorial productivity and faster turnaround times.
- Enhanced consistency and quality of case law summaries.
- Improved user experience through timely and reliable legal content.
- Greater scalability in processing jurisprudence across jurisdictions.

Success Metrics  
- Reduction in average time required to summarize a judicial decision.
- Increase in the number of decisions processed per editor per week.
- Editorial approval rate of AI-generated content.","-","-","We currently have no plans for integration, and the prompt itself is stable and performing well across all use cases — the plan is simply to maintain it and continue generating savings.","We currently have no plans for integration, and the prompt itself is stable and performing well across all use cases — the plan is simply to maintain it and continue generating savings.","9/10/2025 2:22 PM","9/10/2025 2:22 PM","Silva, Camilla (LatAm)"
"Automated Checklist Generation from Legal Journal Summaries","Latam Editorial","9/9/2025","Green – as per plan or better","Launch","CoPilot 365","Hybrid","1","Legal Context
Legal journals follow strict editorial standards to ensure that published content is accurate, relevant, and properly categorized. The editorial checklist is a critical tool used to validate and organize article metadata, authorship, legal domain, and compliance with publication norms.

Challenges
•	Manual transcription of summary data into checklists is time-consuming and error-prone.
•	High volume of submissions increases editorial workload.
•	Lack of automation leads to delays in publication cycles.
•	Inconsistencies in formatting and metadata extraction.
","AI-Driven Solution
An AI agent will be developed to:
•	Automatically extract structured data (e.g., article titles, authors, keywords, legal domains) from journal summaries.
•	Populate a standardized checklist spreadsheet without manual input.
•	Ensure metadata accuracy and formatting consistency.

Workflow Integration
•	Editorial team uploads or inputs journal summary.
•	AI agent processes the summary and generates a checklist spreadsheet.
•	Editors review and validate the output before finalizing.
•	Checklist is used for publication tracking and compliance.

Expected Outcomes
•	Significant reduction in manual data entry.
•	Improved accuracy and consistency in editorial checklists.
•	Faster turnaround for publication readiness.
•	Enhanced traceability of article metadata.


","-","-","Creation","We currently have no plans for integration, and the prompt itself is stable and performing well across all use cases — the plan is simply to maintain it and continue generating savings.","9/10/2025 2:49 PM","9/10/2025 2:49 PM","Silva, Camilla (LatAm)"
"Professional sales and advertising ops: Suite of AI tools (automating data analysis, optimizing campaign performance, and streamlining insights)","Reuters - Commercial","9/10/2025","Green – as per plan or better","Launch","AI Platform: Open Arena","Build",,"DejaView: Analyzes advertising campaigns and recommends audience targeting strategies to improve performance without increasing costs.
Newsletter AI Chains: Provide geographical breakdowns, impression forecasting, and pricing data for 20 newsletters, enabling sales planning.
Newsletter Audience Profiles: Help sales determine the best newsletters to pitch by offering subscriber counts, geography, and audience demographics.
Native Ad Creative Feedback: Offers pre-campaign feedback on ad creatives to improve effectiveness.
Newsletter Subject Line Feedback: Suggests improvements to subject lines and preheaders for better engagement.
Programmatic Chain: Supports global sales teams with programmatic advertising workflows, Salesforce/PIO setup, and troubleshooting guidance.","Significant time savings in data analysis and campaign optimization.
Empowered sales teams with direct access to critical data, reducing dependency on manual data requests.
Improved ad creative quality and campaign performance through AI-driven feedback.
Enhanced newsletter engagement via optimized subject lines.
Streamlined programmatic sales operations across global teams, ensuring continuity and support.","Ideation","Experimentation & Launch","Launched","Potential expansion to more similar tools","9/11/2025 4:09 AM","9/11/2025 4:09 AM","Baranczak-Wosik, Ola (Reuters)"
"Faster rep enablement via AI playbook and process documents","GTM - Corporates","9/11/2025","Green – as per plan or better","Launch","CoPilot Studio","Build","1,600","Utilizing Copilot Studio to build a RAG based assistant chatbot accessible in Teams to help our GTM teammates with navigating the Corporates sales playbooks","Chatbot in Teams that answers rep's questions about how to sell a deal or get it through our systems. ","Playbooks organized and launched to the field at the beginning of the year","Building and piloting Enablement Navigator to the field","Launched in July to the field","Continue to add additional training content. So far we've identified Seismic and Mindtickle to hold data of interest that we want Enablement Navigator to ingest.","9/11/2025 9:49 AM","9/11/2025 9:49 AM","Wang, Billy (Corporates)"
